序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,老式双低,新式双低,MA20乖离,热门度,转债名称,
143,亚药转债!,128062,2019-04-24,亚太药业,002370,医药,化学制药,80.14,-0.30%,0.30%,4.66,0.22%,5.8,0.8%,119.8,16.25,6.20,28.68,179%,转股中,4.80年,2.80年,38.6%,11.1%,9.6,25,8.90%,8.10%,9.01%,8.75%,80.22,79.90,0.78,80.68,-0.7%,66%,<2%,16%,0.00,A-,8.97%,131.6,51.4,-2.7%,92,亚药转债!,
166,维格转债!,113527,2019-02-19,锦泓集团,603518,服装纺织,服装行业,91.76,-0.03%,-0.10%,6.47,-1.07%,3.5,0.5%,120.2,10.52,0.65,61.50,49.2%,转股中,4.62年,2.62年,45.7%,28.1%,7.5,16,6.15%,5.33%,4.48%,4.21%,89.88,95.28,3.63,98.92,-7.2%,44%,<2%,18%,0.13,AA,5.27%,122.0,26.7,1.3%,100,维格转债!,
245,洪涛转债!,128013,2016-08-23,洪涛股份,002325,建筑,装饰工程,102.45,0.43%,-0.43%,3.1,-1.27%,16,1.3%,111.3,8.00,1.28,38.75,164%,转股中,2年46天,46天,31.0%,12.0%,12,39,4.06%,3.03%,-2.17%,-3.35%,100.62,102.39,0.00,102.39,0.1%,34%,<2%,16%,0.00,AA,4.09%,166.2,63.8,0.6%,93,洪涛转债!,
228,亚太转债!,128023,2017-12-26,亚太股份,002284,汽车,零部件制,98.2,0.00%,0.00%,4.86,-0.41%,1.9,0.2%,112.3,10.34,1.47,47.00,109%,转股中,3.48年,1.48年,27.9%,13.1%,10,36,4.02%,3.33%,2.85%,2.50%,96.03,97.40,0.16,97.56,0.7%,41%,29%,17%,0.01,AA,4.27%,149.4,52.0,0.5%,67,亚太转债!,
29,搜特转债!,128100,2020-04-09,搜于特,002503,服装纺织,服装行业,94.095,0.22%,0.02%,2.79,2.95%,50,6.7%,117.3,5.36,1.61,52.05,80.8%,3月7天,5.75年,3.75年,9.3%,4.8%,8.0,86,3.99%,3.42%,2.57%,2.37%,87.23,91.08,2.01,93.10,1.1%,48%,23%,17%,0.08,AA,4.59%,136.1,45.1,-1.4%,36,搜特转债!,
56,百川转债!,128093,2020-01-21,百川股份,002455,石油天然,化工,106.97,0.25%,-0.94%,4.86,-1.82%,3.5,0.6%,130.3,5.87,1.91,82.79,29.2%,26天,5.56年,3.56年,20.7%,17.1%,5.2,25,3.74%,2.80%,0.11%,-0.27%,88.00,97.27,14.55,111.82,-4.3%,40%,10%,17%,0.38,AA-,5.59%,131.1,33.9,-1.0%,48,百川转债!,
236,小康转债!,113016,2017-11-21,小康股份,601127,汽车,零部件制,97.68,-0.33%,0.26%,8.97,-2.39%,9.5,1.1%,110.3,15.74,1.75,56.99,71.4%,转股中,3.40年,1.40年,7.7%,4.4%,8.8,114,3.72%,3.12%,3.34%,2.98%,96.34,95.98,1.00,96.98,0.7%,36%,24%,16%,0.03,AA,4.27%,138.4,42.0,3.6%,47,小康转债!,
163,今飞转债!,128056,2019-03-22,今飞凯达,002863,汽车,零部件制,102.295,0.04%,-0.10%,4.91,-0.20%,15,4.1%,121,6.76,1.82,72.63,40.8%,转股中,4.71年,2.71年,19.9%,14.5%,3.7,18,3.71%,2.91%,0.64%,0.35%,86.00,88.74,10.82,99.57,2.7%,59%,23%,17%,0.31,A+,6.97%,132.0,43.2,1.1%,56,今飞转债!,
13,起步转债!,113576,2020-05-07,起步股份,603557,服装纺织,鞋服行业,99.52,-0.04%,-0.39%,7.77,-1.27%,4.5,0.9%,121.8,10.55,2.16,73.65,35.1%,4月5天,5.82年,3.82年,14.1%,10.4%,5.2,37,3.61%,2.94%,1.30%,1.06%,84.50,89.37,11.70,101.08,-1.5%,50%,15%,17%,0.34,AA-,5.59%,125.4,36.0,-6.0%,20,起步转债!,
146,大丰转债!,113530,2019-04-18,XD大丰实,603081,建筑,装饰工程,103,0.10%,-0.19%,11.49,-0.61%,1.6,0.2%,121.6,16.64,2.39,69.05,49.2%,转股中,4.79年,2.79年,13.6%,9.4%,6.3,46,3.60%,2.79%,0.17%,-0.06%,91.60,99.93,3.79,103.72,-0.7%,47%,16%,16%,0.15,AA,4.27%,136.9,37.0,-1.0%,36,大丰转债!,
