序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,期权价值,内在价值,价值溢价,历史波动,隐含波动,预测波动,弹性,信用,折现率,双低,老式双低,新式双低,MA20乖离,热门度,转债名称
162,亚药转债!,128062,2019/4/24,亚太药业,002370,医药,化学制药,78.222,0.26%,-0.26%,4.88,-0.20%,7.7,1.00%,119.8,16.25,6.49,30.03,160%,转股中,4.70年,2.70年,36.80%,11.10%,9.6,26,9.68%,8.85%,10.30%,10.00%,80.41,79.8,1.39,81.2,-3.70%,66%,<2%,16%,0,A-,9.20%,238.22 ,126.4,46,-1.90%,92,亚药转债!
185,维格转债!,113527,2019/2/19,锦泓集团,603518,服装纺织,服装行业,90.13,0.49%,-0.11%,6.82,2.40%,9.7,1.40%,120.2,10.52,0.69,64.83,39.00%,转股中,4.52年,2.52年,43.30%,28.10%,7.5,17,6.72%,5.88%,5.36%,5.08%,89.81,94.84,4.6,99.45,-9.40%,44%,<2%,18%,0.16,AA,5.50%,129.13 ,115.4,20.6,2.90%,100,维格转债!
247,亚太转债!,128023,2017/12/26,亚太股份,002284,汽车,零部件制,95.9,-0.12%,0.12%,5.32,0.00%,4.9,0.50%,112.3,10.34,1.61,51.45,86.40%,转股中,3.38年,1.38年,25.50%,13.10%,10,39,4.89%,4.17%,4.64%,4.26%,96.1,97.09,0.34,97.43,-1.60%,41%,<2%,17%,0.02,AA,4.50%,182.30 ,140.3,43.3,0.90%,65,亚太转债!
226,岩土转债!,128037,2018/4/25,中化岩土,002542,建筑,建筑工程,97.211,-0.19%,0.19%,3.49,-1.41%,3.6,0.60%,112.3,7.99,1.58,43.68,123%,转股中,3.66年,1.66年,9.50%,4.20%,6,63,4.11%,3.45%,3.14%,2.82%,94.94,95.9,0.08,95.98,1.30%,37%,34%,16%,0,AA,4.50%,220.21 ,150.7,54.8,-2.00%,49,岩土转债!
79,百川转债!,128093,2020/1/21,百川股份,002455,化工,化工,105.598,-0.02%,0.19%,4.95,0.41%,3.1,0.60%,130.3,5.87,1.95,84.33,25.20%,转股中,5.46年,3.46年,20.30%,17.10%,5.2,26,4.06%,3.11%,0.47%,0.08%,87.91,96.87,15.41,112.28,-5.90%,39%,10%,17%,0.4,AA-,5.78%,130.80 ,126.9,30,0.70%,48,百川转债!
182,今飞转债!,128056,2019/3/22,今飞凯达,002863,汽车,零部件制,101.999,0.59%,0.37%,5.47,2.24%,16,4.40%,121,6.76,2.03,80.92,26.10%,转股中,4.61年,2.61年,17.90%,14.50%,3.7,21,3.86%,3.04%,0.77%,0.47%,86.06,88.47,15.63,104.1,-2.00%,59%,16%,17%,0.43,A+,7.20%,128.10 ,123.1,34.6,8.20%,55,今飞转债!
255,小康转债!,113016,2017/11/21,小康股份,601127,汽车,零部件制,97.72,0.13%,-0.14%,8.8,-0.56%,1.8,0.20%,110.3,15.74,1.72,55.91,74.80%,转股中,3.30年,1.30年,7.90%,4.40%,8.8,111,3.82%,3.20%,3.55%,3.15%,96.42,95.69,1.27,96.96,0.80%,36%,25%,16%,0.02,AA,4.50%,172.52 ,139.5,43.1,0.50%,46,小康转债!
240,双环转债!,128032,2018/1/25,双环传动,002472,机械装备,通用设备,97.38,0.52%,-0.51%,5.26,0.57%,9.7,1.00%,110.3,9.89,1.1,53.19,83.10%,转股中,3.44年,1.44年,27.70%,14.70%,10,36,3.77%,3.18%,3.47%,3.11%,95.86,95.13,1.24,96.36,1.10%,35%,26%,16%,0.01,AA,4.50%,180.48 ,141.6,45.7,1.10%,50,双环转债!
160,未来转债,128063,2019/4/24,德尔未来,002631,其他,家居用品,108.2,0.08%,-0.45%,7.7,-0.90%,1.9,0.30%,128.2,8.61,2.99,89.43,21.00%,转股中,4.71年,3.71年,12.20%,10.90%,6.3,51,3.77%,2.74%,0.16%,-0.27%,88.87,100.33,14.04,114.37,-5.40%,49%,8%,16%,0.41,AA-,5.50%,129.20 ,127,26.6,-2.10%,38,未来转债
165,大丰转债!,113530,2019/4/18,大丰实业,603081,建筑,装饰工程,102.8,0.49%,-0.43%,12.09,0.33%,1.9,0.30%,121.6,16.64,2.52,72.66,41.50%,转股中,4.69年,2.69年,13.00%,9.40%,6.3,49,3.72%,2.90%,0.25%,0.00%,91.4,99.33,4.93,104.26,-1.40%,47%,14%,16%,0.19,AA,4.50%,144.30 ,132.9,33.6,1.40%,35,大丰转债!
52,搜特转债!,128100,2020/4/9,搜于特,002503,服装纺织,服装行业,96.253,0.78%,-0.72%,2.92,0.69%,12,1.50%,117.3,5.36,1.68,54.48,76.70%,2月1天,5.65年,3.65年,8.90%,4.80%,8,90,3.63%,3.06%,2.02%,1.82%,87.02,90.57,2.49,93.06,3.40%,49%,26%,17%,0.1,AA,4.78%,172.95 ,138,47.5,-3.30%,38,搜特转债!
149,大业转债!,113535,2019/6/3,大业股份,603278,汽车,零部件制,99.03,0.00%,-0.11%,8.06,-0.86%,4.3,0.90%,113.1,12.4,1.46,65,52.40%,转股中,3.81年,1.81年,21.40%,13.90%,5,23,3.60%,2.95%,1.44%,1.25%,93.41,95.85,2.85,98.7,0.30%,47%,21%,18%,0.13,AA,4.50%,151.43 ,133.1,37.2,-0.30%,51,大业转债!
