序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,弹性,信用,折现率,双低,老式双低,新式双低,MA20乖离,热门度,转债名称
176,亚药转债!,128062,2019/4/24,亚太药业,002370,医药,化学制药,79.52,0.00%,0.00%,5.33,-3.27%,9.6,1.30%,119.8,16.25,7.09,32.8,142%,转股中,4.65年,2.65年,33.70%,11.10%,9.6,29,9.41%,8.57%,9.84%,9.57%,80.56,79.78,0,A-,9.33%,221.52 ,126.2,45.7,1.70%,90,亚药转债!
12,本钢转债!,127018,2020/8/4,本钢板材,000761,钢铁,炼钢,98.7,-0.20%,0.05%,3.45,-0.86%,335,5.00%,128.6,5.03,0.68,68.59,43.90%,4月28天,5.89年,3.89年,50.90%,34.90%,68,134,4.73%,3.88%,1.90%,1.59%,91.54,103.65,0.18,AAA,3.84%,142.60 ,128.8,25.2,-2.20%,15,本钢转债!
261,亚太转债!,128023,2017/12/26,亚太股份,002284,汽车,零部件制,97.099,0.00%,-0.07%,5.25,-4.20%,2.3,0.20%,112.3,10.34,1.59,50.77,91.20%,转股中,3.32年,1.32年,25.80%,13.10%,10,39,4.58%,3.85%,3.95%,3.56%,96.17,96.95,0.02,AA,4.63%,188.30 ,143.4,46.5,-3.90%,65,亚太转债!
199,维格转债!,113527,2019/2/19,锦泓集团,603518,服装纺织,服装行业,99.2,0.17%,0.07%,8.41,0.60%,41,5.60%,120.2,9.85,0.85,85.38,16.20%,转股中,4.46年,2.46年,35.10%,30.00%,7.5,21,4.49%,3.66%,1.66%,1.39%,89.8,94.63,0.41,AA,5.63%,115.40 ,113,18.4,17.70%,100,维格转债!
240,岩土转债!,128037,2018/4/25,中化岩土,002542,建筑,建筑工程,98.11,0.09%,-0.10%,3.55,-1.11%,3.4,0.60%,112.3,7.99,1.61,44.43,121%,转股中,3.60年,1.60年,9.30%,4.20%,6,64,3.90%,3.24%,2.70%,2.38%,94.97,95.73,0.01,AA,4.63%,219.11 ,151.8,56.1,-0.60%,49,岩土转债!
269,小康转债!,113016,2017/11/21,小康股份,601127,汽车,零部件制,99.09,0.10%,-0.04%,9.09,2.48%,1.9,0.20%,110.3,15.7,1.78,57.9,71.10%,转股中,3.24年,1.24年,7.70%,4.50%,8.8,115,3.44%,2.81%,2.67%,2.26%,96.5,95.56,0.02,AA,4.63%,170.19 ,140.3,43.8,0.70%,45,小康转债!
174,未来转债,128063,2019/4/24,德尔未来,002631,其他,家居用品,110.2,-1.25%,0.34%,7.82,-2.13%,2.2,0.30%,128.2,8.61,3.04,90.82,21.30%,转股中,4.65年,3.65年,12.10%,10.90%,6.3,52,3.40%,2.37%,-0.33%,-0.76%,88.74,100.08,0.43,AA-,5.63%,131.50 ,129.6,29.5,-0.10%,38,未来转债
179,大丰转债!,113530,2019/4/18,大丰实业,603081,建筑,装饰工程,104.83,0.19%,-0.34%,12.28,-0.73%,1.2,0.20%,121.6,16.64,2.56,73.8,42.00%,转股中,4.63年,2.63年,12.80%,9.40%,6.3,49,3.32%,2.49%,-0.45%,-0.70%,91.32,99.02,0.2,AA,4.63%,146.83 ,135.9,36.8,0.70%,35,大丰转债!
254,双环转债!,128032,2018/1/25,双环传动,002472,机械装备,通用设备,99.208,0.32%,-0.27%,5.58,2.57%,9.5,1.00%,110.3,9.89,1.16,56.42,75.80%,转股中,3.38年,1.38年,26.10%,14.70%,10,38,3.26%,2.66%,2.35%,1.98%,95.92,94.98,0.02,AA,4.63%,175.01 ,142,46.1,4.30%,51,双环转债!
93,百川转债!,128093,2020/1/21,百川股份,002455,化工,化工,110.445,-0.06%,-0.64%,5.26,-1.50%,4.2,0.70%,130.3,5.87,2.07,89.61,23.30%,转股中,5.40年,3.40年,19.10%,17.10%,5.2,27,3.22%,2.27%,-0.80%,-1.19%,88.02,96.9,0.47,AA-,5.84%,133.75 ,131.3,34.4,2.80%,47,百川转债!
231,海澜转债!,110045,2018/7/31,海澜之家,600398,服装纺织,服装行业,98.41,0.05%,-0.06%,6.17,-0.48%,3.1,0.10%,111.1,11.75,2.06,52.51,87.40%,转股中,3.93年,1.93年,10.80%,5.70%,29,273,3.18%,2.64%,1.74%,1.55%,93.77,94.97,0.03,AA+,4.13%,185.81 ,144.3,49.3,0.00%,60,海澜转债!
182,迪森转债!,123023,2019/4/16,迪森股份,300335,能源电力,电力供应,99.82,-0.13%,-0.60%,4.96,-3.13%,2,0.30%,114.9,7.04,1.33,70.45,41.70%,转股中,4.61年,3.61年,33.30%,23.50%,6,18,3.16%,2.55%,1.43%,1.15%,88.93,93.64,0.23,AA,4.63%,141.52 ,129.2,35.5,-0.50%,50,迪森转债!
163,大业转债!,113535,2019/6/3,大业股份,603278,汽车,零部件制,101.5,-0.25%,0.03%,8.38,-1.41%,2.3,0.50%,113.1,12.4,1.52,67.58,50.20%,转股中,3.75年,1.75年,20.60%,13.90%,5,24,2.97%,2.31%,0.18%,-0.01%,93.43,95.65,0.15,AA,4.63%,151.70 ,135.4,39.8,0.00%,51,大业转债!
66,搜特转债!,128100,2020/4/9,搜于特,002503,服装纺织,服装行业,99.888,0.14%,-0.34%,2.8,-2.44%,12,1.50%,117.3,5.36,1.61,52.24,91.20%,40天,5.59年,3.59年,9.20%,4.80%,8,87,2.97%,2.40%,1.04%,0.84%,87.07,90.53,0.08,AA,4.84%,191.09 ,147.5,57,-5.90%,37,搜特转债!
73,科达转债!,113569,2020/4/8,苏州科达,603660,通信互联,物联网,103.35,-0.77%,0.40%,9.16,-2.03%,2.8,0.50%,120.7,14.84,2.67,61.73,67.40%,35天,5.58年,3.58年,11.30%,7.00%,5.2,46,2.88%,2.22%,0.18%,-0.03%,84.3,88.51,0.18,AA-,5.84%,170.75 ,145,56.5,-2.70%,21,科达转债!
43,纵横转债,113573,2020/5/22,纵横通信,603602,通信互联,通信设备,106.53,-0.41%,-0.87%,15.33,-2.54%,2.7,0.90%,124.7,18.81,3.48,81.5,30.70%,2月15天,5.69年,3.69年,8.60%,7.00%,2.7,31,2.87%,2.12%,-0.47%,-0.70%,79.32,83.26,0.51,A+,7.54%,137.23 ,131.6,48.3,-4.60%,11,纵横转债
10,胜达转债,113591,2020/7/23,大胜达,603687,造纸包装,包装用纸,104.58,-0.15%,-0.91%,13.1,-2.02%,38,6.70%,122.2,14.73,3.71,88.93,17.60%,5月2天,5.89年,3.89年,10.20%,9.10%,5.5,54,2.73%,2.07%,-0.11%,-0.31%,82.89,88.06,0.53,AA-,5.84%,122.18 ,120.2,32.2,-6.70%,8,胜达转债
258,铁汉转债!,123004,2018/1/26,铁汉生态,300197,城市公用,生态环境,100.58,0.38%,-0.14%,2.96,1.37%,4.4,0.50%,109.8,3.98,1.33,74.37,35.20%,转股中,3.36年,1.36年,12.00%,8.90%,8.3,69,2.70%,2.13%,1.29%,0.96%,95.77,94.6,0.17,AA,4.63%,135.78 ,126.8,31,5.30%,30,铁汉转债!
275,永东转债!,128014,2017/7/18,永东股份,002753,化工,化工,103.881,-0.03%,-0.05%,8.01,-1.96%,0.9,0.30%,111.3,12.6,1.74,63.57,63.40%,转股中,2.69年,0.69年,11.20%,7.10%,3.4,30,2.64%,1.84%,-2.35%,-2.75%,97.27,96.64,0.04,AA-,5.49%,167.28 ,144.2,46.9,-5.40%,41,永东转债!
114,鸿达转债,128085,2020/1/8,鸿达兴业,002002,化工,化工,109.39,-0.50%,-0.21%,3.92,-1.26%,11,0.40%,124.8,3.92,1.48,100,9.40%,转股中,5.35年,3.35年,23.90%,23.90%,24,101,2.55%,1.75%,-1.36%,-1.59%,88.48,97.44,0.56,AA,4.84%,118.79 ,118.8,21.3,-2.40%,78,鸿达转债
193,中信转债!,113021,2019/3/19,中信银行,601998,金融,银行行业,106.3,-0.39%,0.15%,5.19,-1.14%,22,0.10%,118.8,6.98,0.55,74.36,43.00%,转股中,4.57年,无权,15.70%,11.70%,400,2540,2.54%,1.79%,无权,无权,无权,101.43,0.22,AAA,3.63%,149.30 ,138.2,36.8,-2.30%,56,中信转债!
133,浦发转债!,110059,2019/11/15,浦发银行,600000,金融,银行行业,103.8,-0.10%,-0.13%,10.43,-0.95%,89,0.20%,117.8,14.45,0.6,72.18,43.80%,转股中,5.22年,无权,16.30%,11.80%,500,3061,2.52%,1.89%,无权,无权,无权,97.28,0.24,AAA,3.84%,147.60 ,135.4,38.1,-4.50%,79,浦发转债!
74,新春转债,113568,2020/4/2,五洲新春,603667,机械装备,通用设备,108.99,-0.25%,-0.22%,8.56,-0.81%,3.3,0.90%,124.8,8.91,1.44,96.07,13.40%,36天,5.57年,3.57年,13.20%,12.70%,3.3,25,2.52%,1.75%,-1.08%,-1.32%,84.92,91.64,0.58,AA-,5.84%,122.39 ,121.9,30.3,0.60%,40,新春转债
229,德尔转债!,123011,2018/8/14,德尔股份,300473,汽车,零部件制,105.895,1.21%,-0.77%,28.23,1.26%,6.6,2.50%,116.3,34.54,1.41,81.73,29.60%,转股中,3.94年,1.94年,7.80%,6.40%,2.5,32,2.45%,1.69%,-1.41%,-1.66%,91.67,94.08,0.35,AA-,5.63%,135.50 ,130.1,36,2.30%,37,德尔转债!
156,清水转债,123028,2019/7/15,清水源,300437,城市公用,三废处理,108.93,-0.06%,-0.49%,10.89,-1.09%,1.7,0.30%,121.8,11.84,1.57,91.98,18.40%,转股中,4.86年,2.86年,20.60%,19.00%,4.9,24,2.38%,1.59%,-1.31%,-1.60%,88.9,93.96,0.51,AA-,5.63%,127.33 ,125.9,31.9,0.40%,46,清水转债
266,嘉澳转债!,113502,2017/11/27,嘉澳环保,603822,化工,化工,104.42,-0.65%,0.38%,27.36,-4.87%,5.6,2.90%,112.3,44.79,2.7,61.09,70.90%,转股中,3.25年,1.25年,9.20%,5.60%,1.9,20,2.31%,1.60%,-1.10%,-1.48%,95.17,94.34,0.06,AA-,5.63%,175.32 ,147.8,52.6,3.00%,31,嘉澳转债!
50,起步转债!,113576,2020/5/7,起步股份,603557,服装纺织,鞋服行业,107.47,-0.35%,0.90%,10.18,0.89%,13,2.30%,121.8,10.55,2.83,96.49,11.40%,2月8天,5.67年,3.67年,10.80%,10.40%,5.2,48,2.28%,1.61%,-0.68%,-0.92%,84.46,88.97,0.61,AA-,5.84%,118.87 ,118.4,29.5,6.80%,28,起步转债!
195,长城转债!,113528,2019/3/20,长城科技,603897,机械装备,专用设备,106.4,-0.55%,-0.89%,20.22,-3.30%,8.3,1.20%,117.6,23.75,1.95,85.14,25.00%,转股中,4.56年,2.56年,17.60%,15.00%,6.3,36,2.27%,1.57%,-0.87%,-1.14%,89.69,92.15,0.44,AA-,5.63%,131.40 ,127.7,35.5,-1.30%,47,长城转债!
107,建工转债!,110064,2020/1/16,重庆建工,600939,建筑,建筑工程,107.03,-0.09%,-0.74%,3.98,-1.97%,5.4,0.30%,120.2,4.57,1.06,87.09,22.90%,转股中,5.36年,3.36年,23.00%,20.00%,17,72,2.24%,1.57%,-0.67%,-0.92%,90.13,96.22,0.42,AA+,4.34%,129.93 ,127,30.8,-1.00%,44,建工转债!
273,久其转债!,128015,2017/7/18,久其软件,002279,计算机及,软件开发,104.205,-0.76%,0.15%,7.29,-2.80%,11,1.30%,110.8,9.48,6.79,76.9,35.50%,转股中,2.83年,0.83年,15.00%,11.60%,7.8,52,2.22%,1.50%,-2.56%,-2.86%,94.77,91.28,0.22,A+,7.19%,139.71 ,131.5,36.7,-0.70%,59,久其转债!
196,今飞转债!,128056,2019/3/22,今飞凯达,002863,汽车,零部件制,109.888,-1.54%,-0.18%,6.7,-2.62%,33,8.10%,121,6.76,2.49,99.11,10.90%,转股中,4.56年,2.56年,14.60%,14.50%,3.7,25,2.19%,1.37%,-1.97%,-2.25%,86.13,88.36,0.66,A+,7.33%,120.79 ,120.7,32.3,15.40%,57,今飞转债!
