序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,纯债溢价率,弹性,信用,折现率,双低,老式双低,新式双低,MA20乖离,热门度,转债名称
180,亚药转债!,128062,2019/4/24,亚太药业,002370,医药,化学制药,79.755,0.27%,-0.27%,5.42,4.43%,42,5.50%,119.8,16.25,7.21,33.35,139%,转股中,4.63年,2.63年,33.10%,11.10%,9.6,29,9.38%,8.54%,9.79%,9.52%,80.72,79.95,-0.24%,0,A-,9.32%,218.76 ,126.2,45.4,3.40%,88,亚药转债!
203,维格转债!,113527,2019/2/19,锦泓集团,603518,服装纺织,服装行业,94.02,-5.01%,1.87%,7.69,-9.95%,80,11.20%,120.2,9.85,0.78,78.07,20.40%,转股中,4.44年,2.44年,38.40%,30.00%,7.5,19,5.81%,4.96%,3.81%,3.52%,89.92,94.77,-0.79%,0.32,AA,5.62%,114.42 ,110,15.2,0.40%,100,维格转债!
16,本钢转债!,127018,2020/8/4,本钢板材,000761,钢铁,炼钢,98.991,0.35%,0.03%,3.52,2.03%,198,2.90%,128.6,5.03,0.69,69.98,41.50%,4月21天,5.87年,3.87年,49.80%,34.90%,68,136,4.69%,3.84%,1.84%,1.52%,91.78,104.01,-4.83%,0.19,AAA,3.79%,140.49 ,128,24,0.50%,17,本钢转债!
265,亚太转债!,128023,2017/12/26,亚太股份,002284,汽车,零部件制,97.946,0.34%,-0.35%,5.57,-0.36%,4.9,0.50%,112.3,10.34,1.69,53.87,81.80%,转股中,3.30年,1.30年,24.30%,13.10%,10,41,4.33%,3.60%,3.38%,2.99%,96.26,97.06,0.91%,0.03,AA,4.62%,179.75 ,142,45,3.20%,64,亚太转债!
244,岩土转债!,128037,2018/4/25,中化岩土,002542,建筑,建筑工程,99.6,0.61%,-0.60%,3.66,1.10%,8.8,1.50%,112.3,7.99,1.66,45.81,117%,转股中,3.58年,1.58年,9.10%,4.20%,6,66,3.48%,2.82%,1.84%,1.52%,95.07,95.84,3.92%,0.01,AA,4.62%,216.60 ,153.4,57.5,3.10%,48,岩土转债!
273,小康转债!,113016,2017/11/21,小康股份,601127,汽车,零部件制,99.61,0.13%,-0.09%,9.2,1.32%,4.3,0.50%,110.3,15.7,1.8,58.6,70.00%,转股中,3.23年,1.23年,7.60%,4.50%,8.8,116,3.29%,2.66%,2.31%,1.91%,96.6,95.67,4.12%,0.03,AA,4.62%,169.61 ,140.6,44,2.00%,44,小康转债!
97,百川转债!,128093,2020/1/21,百川股份,002455,化工,化工,110.135,-0.41%,0.68%,5.26,0.57%,3.8,0.70%,130.3,5.87,2.07,89.61,22.90%,转股中,5.38年,3.38年,19.10%,17.10%,5.2,27,3.28%,2.33%,-0.72%,-1.11%,88.26,97.24,13.26%,0.46,AA-,5.79%,133.04 ,130.7,33.4,2.10%,46,百川转债!
183,大丰转债!,113530,2019/4/18,大丰实业,603081,建筑,装饰工程,105.89,0.70%,-0.62%,12.47,0.40%,2.1,0.30%,121.6,16.64,2.6,74.94,41.30%,转股中,4.61年,2.61年,12.60%,9.40%,6.3,50,3.11%,2.28%,-0.82%,-1.06%,91.42,99.15,6.80%,0.22,AA,4.62%,147.19 ,136.8,37.7,3.00%,34,大丰转债!
70,搜特转债!,128100,2020/4/9,搜于特,002503,服装纺织,服装行业,99.99,-0.01%,0.01%,2.78,0.00%,17,2.20%,117.3,5.36,1.6,51.87,92.80%,33天,5.57年,3.57年,9.30%,4.80%,8,86,2.96%,2.39%,1.02%,0.81%,87.3,90.85,10.06%,0.08,AA,4.79%,192.79 ,148.1,57.3,-3.10%,37,搜特转债!
186,迪森转债!,123023,2019/4/16,迪森股份,300335,能源电力,电力供应,100.81,-0.04%,0.30%,5.14,0.98%,2.7,0.40%,114.9,7.04,1.38,73.01,38.10%,转股中,4.59年,3.59年,32.20%,23.50%,6,19,2.95%,2.34%,1.17%,0.89%,89.04,93.76,7.52%,0.26,AA,4.62%,138.91 ,128.6,34.8,2.70%,49,迪森转债!
235,海澜转债!,110045,2018/7/31,海澜之家,600398,服装纺织,服装行业,99.54,0.55%,-0.50%,6.5,1.25%,6.2,0.20%,111.1,11.75,2.18,55.32,79.90%,转股中,3.91年,1.91年,10.50%,5.80%,29,281,2.89%,2.35%,1.20%,1.00%,93.86,95.08,4.69%,0.04,AA+,4.12%,179.44 ,143.8,48.7,4.60%,59,海澜转债!
178,未来转债,128063,2019/4/24,德尔未来,002631,其他,家居用品,113.27,0.87%,0.52%,8.19,2.89%,11,1.60%,128.2,8.61,3.18,95.12,19.10%,转股中,4.63年,3.63年,11.50%,10.90%,6.3,55,2.79%,1.76%,-1.06%,-1.49%,88.86,100.23,13.01%,0.48,AA-,5.62%,132.37 ,131.4,31.2,4.90%,37,未来转债
47,纵横转债,113573,2020/5/22,纵横通信,603602,通信互联,通信设备,107.14,0.13%,0.28%,15.67,0.77%,10,3.60%,124.7,18.81,3.56,83.31,28.60%,2月8天,5.67年,3.67年,8.50%,7.00%,2.7,32,2.77%,2.02%,-0.63%,-0.86%,79.57,83.59,28.17%,0.53,A+,7.49%,135.74 ,131,47.4,0.30%,11,纵横转债
14,胜达转债,113591,2020/7/23,大胜达,603687,造纸包装,包装用纸,104.58,-0.13%,0.62%,13.23,0.92%,57,9.90%,122.2,14.73,3.75,89.82,16.40%,4月25天,5.87年,3.87年,10.10%,9.10%,5.5,54,2.74%,2.07%,-0.11%,-0.31%,83.14,88.39,18.32%,0.53,AA-,5.79%,120.98 ,119.3,31,-2.10%,11,胜达转债
