序号,转债名称,转债代码,进展/上市日期,股票名称,股票代码,行业,子行业,转债价格,涨跌,日内套利,股价,涨跌,转债成交额,转债换手率,剩余本息,转股价格,P/B,转股价值,转股溢价率,距离转股日,剩余年限,回售年限,余额/市值,余额/股本,转债余额,股票市值,税前收益率,税后收益率,税前回售收益,税后回售收益,回售价值,纯债价值,弹性,信用,折现率,双低,老式双低,老式排名,新式双低,新式排名,MA20乖离,热门度,转债名称
252,艾华转债!!,113504,2018/3/23,艾华集团,603989,电子,元器件制,142.85,-2.00%,0.96%,29.86,-1.16%,4.7,0.60%,110.3,21.13,5.3,141.32,1.10%,转股中,3.49年,1.49年,4.80%,6.80%,5.6,117,-7.27%,-7.75%,-15.70%,-15.90%,95.97,95.58,0.9,AA,4.40%,143.95 ,144.4,205,48.4,164,-2.80%,9,艾华转债!!
26,安20转债,113592,2020/7/31,安井食品,603345,食品饮料,食品饮料,160,-2.81%,-0.43%,185.2,-3.49%,161,11.00%,113.1,115.9,14.3,159.79,0.10%,4月11天,5.84年,3.84年,2.10%,3.30%,9,438,-5.86%,-6.22%,-10.30%,-10.10%,87.14,88.11,0.93,AA,4.51%,160.10 ,160.2,243,72.1,246,11.30%,5,安20转债
249,敖东转债!,127006,2018/5/11,吉林敖东,623,金融,证券行业,109.202,-0.91%,0.52%,17.6,-1.01%,2.4,0.10%,108,20.42,0.92,86.19,26.70%,转股中,3.52年,1.52年,11.80%,10.10%,24,205,-0.32%,-0.74%,-4.17%,-4.36%,95.07,94,0.38,AA+,4.20%,135.90 ,132.2,106,37.1,72,2.40%,27,敖东转债!
104,奥佳转债!,128097,2020/3/18,奥佳华,2614,机械装备,专用设备,161.898,0.06%,-0.22%,17.28,-0.17%,268,21.80%,115.3,10.69,2.83,161.65,0.20%,转股中,5.47年,3.47年,7.90%,12.70%,7.6,97,-6.11%,-6.56%,-11.20%,-11.40%,88.74,91.28,0.93,AA,4.51%,162.10 ,162.1,245,70.9,245,7.30%,29,奥佳转债!
106,奥瑞转债!,128096,2020/3/16,奥瑞金,2701,造纸包装,包装材料,125.179,-0.65%,0.10%,5.55,-0.72%,10,0.70%,116,4.64,2.26,119.61,4.70%,转股中,5.44年,3.44年,8.30%,10.00%,11,130,-1.42%,-1.93%,-4.99%,-5.20%,89.98,93,0.77,AA+,4.31%,129.88 ,130.7,84,37.7,75,2.00%,23,奥瑞转债!
140,白电转债,113549,2019/12/11,白云电器,603861,能源电力,电力设备,114.65,0.02%,0.81%,8.97,1.36%,0.8,0.10%,115.1,8.88,1.75,101.01,13.50%,转股中,5.19年,3.19年,22.20%,22.40%,8.8,40,0.08%,-0.44%,-3.00%,-3.20%,89.63,92.21,0.61,AA,4.51%,128.15 ,128.3,61,36.1,57,-0.20%,32,白电转债
111,百川转债!,128093,2020/1/21,百川股份,2455,化工,化工,111.601,0.25%,0.42%,5.43,1.31%,2.3,0.40%,130.3,5.87,2.21,92.5,20.60%,转股中,5.33年,3.33年,18.50%,17.10%,5.2,28,3.05%,2.09%,-1.12%,-1.51%,86.39,94.03,0.52,AA-,6.61%,132.20 ,130.7,83,36.7,67,2.70%,45,百川转债!
93,百达转债,113570,2020/4/8,百达精工,603331,机械装备,机械装备,113.06,-0.19%,0.52%,11.88,0.42%,2.9,0.90%,115.3,11.54,1.94,102.95,9.80%,12天,5.51年,3.51年,13.20%,13.60%,2.8,21,0.36%,-0.13%,-2.32%,-2.51%,79.37,77.45,0.77,A+,7.71%,122.86 ,123.2,20,43.8,133,0.10%,30,百达转债
226,百合转债!,113520,2018/11/26,梦百合,603313,其他,家居用品,222.49,-1.89%,0.85%,31.5,-1.07%,93,62.50%,115.2,14.28,4.18,220.59,0.90%,转股中,4.18年,2.18年,0.60%,1.30%,0.7,108,-14.80%,-15.30%,-19.60%,-19.70%,89.73,89.52,0.98,AA-,6.50%,223.39 ,224.4,277,134.7,276,4.80%,11,百合转债!
49,宝通转债,123053,2020/7/1,宝通科技,300031,通信互联,互联网,134.001,0.75%,0.01%,23.73,0.98%,3.8,0.60%,121.3,20.8,3.36,114.09,17.50%,3月7天,5.75年,3.75年,5.30%,6.10%,5,94,-1.75%,-2.36%,-6.28%,-6.46%,81.53,84.91,0.78,AA-,6.61%,151.50 ,153.9,230,69,238,1.70%,4,宝通转债
